estimated_owners,rating,game_name,developer,publisher
500000,79.26,Hard Reset Extended Edition,Flying Wild Hog,Good Shepherd Entertainment
100000,91.58,Intravenous 2,Explosive Squat Games,HypeTrain Digital
100000,54.58,Hunt Down The Freeman,Royal Rudius Entertainment,Royal Rudius Entertainment
200000,89.98,Buddy Simulator 1984,Not a Sailor Studios,Not a Sailor Studios
100000,76.20,No Place Like Home,Chicken Launcher,Awaken Realms
200000,84.60,Persona 4 Arena Ultimax,"Arc System Works, ATLUS",SEGA
100000,91.79,ANTONBLAST,Summitsphere,"Summitsphere, Joystick Ventures"
200000,81.52,Hellsplit: Arena,Deep Type Games,Deep Type Games
200000,80.12,CASE: Animatronics,Walnut LLC,Walnut LLC
200000,78.59,White Day: A Labyrinth Named School,SONNORI Corp,"PQube, SONNORI Corp"
100000,61.97,EmergeNYC,FlipSwitch Games,FlipSwitch Games
200000,84.43,Idol Manager,Glitch Pitch,PLAYISM
200000,82.72,OshiRabu: Waifus Over Husbandos,SukeraSomero,"HUBLOTS, mirai works"
100000,83.99,Survivalist: Invisible Strain,Bob,Ginormocorp Incorporated
500000,89.60,SpiderHeck,Neverjam,tinyBuild
500000,91.10,"Cook, Serve, Delicious!",Vertigo Gaming Inc.,Vertigo Gaming Inc.
200000,77.49,One Piece Burning Blood,Spike Chunsoft Co. Ltd.,BANDAI NAMCO Entertainment
200000,78.89,Tales of Vesperia: Definitive Edition,"QLOC, BANDAI NAMCO Studios Inc.",BANDAI NAMCO Entertainment
200000,63.72,NECROPOLIS: BRUTAL EDITION,Harebrained Schemes,"Paradox Interactive, Bandai Namco"
200000,92.63,One Finger Death Punch 2,Silver Dollar Games,Silver Dollar Games
50000,76.08,Atomfall,Rebellion,Rebellion
20000,90.50,Take Me To The Dungeon!!,Hanabi Fuusen,"Mango Party, Mango Party News"
200000,62.21,DNF Duel,"NEOPLE Inc., Arc System Works, EIGHTING Co. Ltd.",NEXON
200000,86.29,Circle Empires,Luminous,Iceberg Interactive
200000,92.92,Unreal Tournament: Game of the Year Edition,Epic Games Inc.,Epic Games Inc.
100000,78.00,Electrician Simulator,Take IT Studio!,"Gaming Factory, Ultimate Games S.A."
500000,87.50,Mad Games Tycoon,Eggcode,Eggcode
200000,87.78,My Garage,Viking Game Studio,Viking Game Studio
200000,87.22,Penumbra Overture,Frictional Games,Frictional Games
500000,83.09,Victor Vran ARPG,Haemimont Games,"Haemimont Games, EuroVideo Medien"
20000,93.80,My Little Puppy,Dreamotion Inc.,"Dreamotion Inc., KRAFTON Inc."
200000,86.05,There's Poop In My Soup,K Bros Games,K Bros Games
200000,91.11,Shredders,FoamPunch,FoamPunch
200000,80.05,Chorus,Deep Silver Fishlabs,Deep Silver
500000,77.03,Polarity,Bluebutton Games,Bluebutton Games
200000,86.18,Cataclismo,Digital Sun,Hooded Horse
100000,83.05,M.A.S.S. Builder,Vermillion Digital,Sekai Project
200000,77.33,"Love, Money, Rock'n'Roll",Soviet Games,Soviet Games
